date,sars-cov-2,isPartial
2017-01-01,68,False
2017-02-01,0,False
2017-03-01,0,False
2017-04-01,0,False
2017-05-01,0,False
2017-06-01,0,False
2017-07-01,0,False
2017-08-01,0,False
2017-09-01,0,False
2017-10-01,0,False
2017-11-01,87,False
2017-12-01,25,False
2018-01-01,22,False
2018-02-01,0,False
2018-03-01,0,False
2018-04-01,0,False
2018-05-01,0,False
2018-06-01,0,False
2018-07-01,0,False
2018-08-01,0,False
2018-09-01,0,False
2018-10-01,0,False
2018-11-01,0,False
2018-12-01,0,False
2019-01-01,39,False
2019-02-01,99,False
2019-03-01,0,False
2019-04-01,0,False
2019-05-01,0,False
2019-06-01,0,False
2019-07-01,0,False
2019-08-01,0,False
2019-09-01,0,False
2019-10-01,33,False
2019-11-01,0,False
2019-12-01,0,False
2020-01-01,0,False
2020-02-01,28,False
2020-03-01,49,False
2020-04-01,55,False
2020-05-01,23,False
2020-06-01,78,False
2020-07-01,100,False
2020-08-01,0,False
2020-09-01,0,False
2020-10-01,20,False
2020-11-01,0,False
2020-12-01,0,False
2021-01-01,34,False
2021-02-01,56,False
2021-03-01,67,False
2021-04-01,0,False
2021-05-01,0,False
2021-06-01,58,False
2021-07-01,0,False
2021-08-01,0,False
2021-09-01,0,False
2021-10-01,0,False
2021-11-01,0,False
2021-12-01,28,False
2022-01-01,0,False
2022-02-01,0,False
2022-03-01,16,False
2022-04-01,0,False
2022-05-01,29,False
2022-06-01,33,False
2022-07-01,0,False
2022-08-01,0,False
2022-09-01,38,False
2022-10-01,21,False
2022-11-01,42,False
2022-12-01,28,False
2023-01-01,0,False
