date,embalming,isPartial
2017-01-01,23,False
2017-02-01,48,False
2017-03-01,33,False
2017-04-01,47,False
2017-05-01,23,False
2017-06-01,31,False
2017-07-01,0,False
2017-08-01,17,False
2017-09-01,20,False
2017-10-01,45,False
2017-11-01,45,False
2017-12-01,27,False
2018-01-01,16,False
2018-02-01,27,False
2018-03-01,36,False
2018-04-01,39,False
2018-05-01,60,False
2018-06-01,33,False
2018-07-01,25,False
2018-08-01,21,False
2018-09-01,47,False
2018-10-01,14,False
2018-11-01,31,False
2018-12-01,57,False
2019-01-01,100,False
2019-02-01,29,False
2019-03-01,26,False
2019-04-01,33,False
2019-05-01,0,False
2019-06-01,39,False
2019-07-01,29,False
2019-08-01,0,False
2019-09-01,37,False
2019-10-01,41,False
2019-11-01,20,False
2019-12-01,29,False
2020-01-01,20,False
2020-02-01,53,False
2020-03-01,12,False
2020-04-01,0,False
2020-05-01,0,False
2020-06-01,39,False
2020-07-01,36,False
2020-08-01,23,False
2020-09-01,32,False
2020-10-01,78,False
2020-11-01,0,False
2020-12-01,47,False
2021-01-01,17,False
2021-02-01,34,False
2021-03-01,60,False
2021-04-01,0,False
2021-05-01,13,False
2021-06-01,22,False
2021-07-01,0,False
2021-08-01,31,False
2021-09-01,28,False
2021-10-01,0,False
2021-11-01,27,False
2021-12-01,71,False
2022-01-01,83,False
2022-02-01,27,False
2022-03-01,26,False
2022-04-01,77,False
2022-05-01,37,False
2022-06-01,23,False
2022-07-01,27,False
2022-08-01,45,False
2022-09-01,43,False
2022-10-01,22,False
2022-11-01,46,False
2022-12-01,32,False
2023-01-01,78,True
